 Sonnet Data File
 From: em Version : 14.52
 From Project: matlab_proj
 Data is De-embedded 
 Data File Written: 03/31/2019 16:46:28
Project Date: 3/31/2019 16:46:15
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
1.380000000000000,-4.388684730e-5,-1.187592616e-3,0.9993475981776,-0.036096698267,0.9993475981776,-0.036096698267,-4.192772706e-5,-1.187663386e-3
1.400000000000000,-4.516757813e-5,-1.204773585e-3,0.9993285531195,-0.036619604991,0.9993285531195,-0.036619604991,-4.315130536e-5,-1.204847475e-3
1.420000000000000,-4.646667993e-5,-1.221953236e-3,0.9993092341504,-0.037142501626,0.9993092341504,-0.037142501626,-4.439243501e-5,-1.222030337e-3
1.440000000000000,-4.778415191e-5,-1.239131551e-3,0.9992896412757,-0.037665388028,0.9992896412757,-0.037665388028,-4.565111533e-5,-1.239211955e-3
1.460000000000000,-4.911999329e-5,-1.256308511e-3,0.9992697745012,-0.038188264053,0.9992697745012,-0.038188264053,-4.692734564e-5,-1.256392311e-3
1.480000000000000,-5.047420323e-5,-1.273484097e-3,0.9992496338325,-0.038711129557,0.9992496338325,-0.038711129557,-4.822112521e-5,-1.273571388e-3
1.500000000000000,-5.184678089e-5,-1.290658291e-3,0.9992292192754,-0.039233984395,0.9992292192754,-0.039233984395,-4.953245331e-5,-1.290749167e-3
1.520000000000000,-5.323772537e-5,-1.307831074e-3,0.9992085308358,-0.039756828423,0.9992085308358,-0.039756828423,-5.086132919e-5,-1.307925633e-3
1.540000000000000,-5.464703580e-5,-1.325002427e-3,0.9991875685197,-0.040279661498,0.9991875685197,-0.040279661498,-5.220775205e-5,-1.325100766e-3
1.560000000000000,-5.607471123e-5,-1.342172331e-3,0.9991663323331,-0.040802483474,0.9991663323331,-0.040802483474,-5.357172108e-5,-1.342274550e-3
